PHEWAS_CODE;ICD10_CODE;EXCLUSION;STR
A00-A09;A039;A00-B99;Intestinal infectious diseases
A00-A09;A052;A00-B99;Intestinal infectious diseases
A00-A09;A012;A00-B99;Intestinal infectious diseases
A00-A09;A054;A00-B99;Intestinal infectious diseases
A00-A09;A010;A00-B99;Intestinal infectious diseases
A00-A09;A051;A00-B99;Intestinal infectious diseases
A00-A09;A04;A00-B99;Intestinal infectious diseases
A00-A09;A05;A00-B99;Intestinal infectious diseases
A00-A09;A040;A00-B99;Intestinal infectious diseases
A00-A09;A011;A00-B99;Intestinal infectious diseases
A00-A09;A090;A00-B99;Intestinal infectious diseases
A00-A09;A053;A00-B99;Intestinal infectious diseases
A00-A09;A032;A00-B99;Intestinal infectious diseases
A00-A09;A066;A00-B99;Intestinal infectious diseases
A00-A09;A050;A00-B99;Intestinal infectious diseases
A00-A09;A009;A00-B99;Intestinal infectious diseases
A00-A09;A059;A00-B99;Intestinal infectious diseases
A00-A09;A033;A00-B99;Intestinal infectious diseases
A00-A09;A064;A00-B99;Intestinal infectious diseases
A00-A09;A065;A00-B99;Intestinal infectious diseases
A00-A09;A048;A00-B99;Intestinal infectious diseases
A00-A09;A041;A00-B99;Intestinal infectious diseases
A00-A09;A038;A00-B99;Intestinal infectious diseases
A00-A09;A067;A00-B99;Intestinal infectious diseases
A00-A09;A079;A00-B99;Intestinal infectious diseases
A00-A09;A060;A00-B99;Intestinal infectious diseases
A00-A09;A049;A00-B99;Intestinal infectious diseases
A00-A09;A01;A00-B99;Intestinal infectious diseases
A00-A09;A09;A00-B99;Intestinal infectious diseases
A00-A09;A029;A00-B99;Intestinal infectious diseases
A00-A09;A028;A00-B99;Intestinal infectious diseases
A00-A09;A063;A00-B99;Intestinal infectious diseases
A00-A09;A061;A00-B99;Intestinal infectious diseases
A00-A09;A06;A00-B99;Intestinal infectious diseases
A00-A09;A073;A00-B99;Intestinal infectious diseases
A00-A09;A062;A00-B99;Intestinal infectious diseases
A00-A09;A043;A00-B99;Intestinal infectious diseases
A00-A09;A082;A00-B99;Intestinal infectious diseases
A00-A09;A045;A00-B99;Intestinal infectious diseases
A00-A09;A099;A00-B99;Intestinal infectious diseases
A00-A09;A042;A00-B99;Intestinal infectious diseases
A00-A09;A072;A00-B99;Intestinal infectious diseases
A00-A09;A001;A00-B99;Intestinal infectious diseases
A00-A09;A070;A00-B99;Intestinal infectious diseases
A00-A09;A047;A00-B99;Intestinal infectious diseases
A00-A09;A000;A00-B99;Intestinal infectious diseases
A00-A09;A071;A00-B99;Intestinal infectious diseases
A00-A09;A031;A00-B99;Intestinal infectious diseases
A00-A09;A030;A00-B99;Intestinal infectious diseases
A00-A09;A022;A00-B99;Intestinal infectious diseases
A00-A09;A085;A00-B99;Intestinal infectious diseases
A00-A09;A02;A00-B99;Intestinal infectious diseases
A00-A09;A069;A00-B99;Intestinal infectious diseases
A00-A09;A081;A00-B99;Intestinal infectious diseases
A00-A09;A046;A00-B99;Intestinal infectious diseases
A00-A09;A08;A00-B99;Intestinal infectious diseases
A00-A09;A00;A00-B99;Intestinal infectious diseases
A00-A09;A03;A00-B99;Intestinal infectious diseases
A00-A09;A058;A00-B99;Intestinal infectious diseases
A00-A09;A084;A00-B99;Intestinal infectious diseases
A00-A09;A044;A00-B99;Intestinal infectious diseases
A00-A09;A020;A00-B99;Intestinal infectious diseases
A00-A09;A07;A00-B99;Intestinal infectious diseases
A00-A09;A078;A00-B99;Intestinal infectious diseases
A00-A09;A080;A00-B99;Intestinal infectious diseases
A00-A09;A013;A00-B99;Intestinal infectious diseases
A00-A09;A068;A00-B99;Intestinal infectious diseases
A00-A09;A021;A00-B99;Intestinal infectious diseases
A00-A09;A014;A00-B99;Intestinal infectious diseases
A00-A09;A083;A00-B99;Intestinal infectious diseases
A15-A19;A198;A00-B99;Tuberculosis
A15-A19;A168;A00-B99;Tuberculosis
A15-A19;A161;A00-B99;Tuberculosis
A15-A19;A150;A00-B99;Tuberculosis
A15-A19;A178;A00-B99;Tuberculosis
A15-A19;A199;A00-B99;Tuberculosis
A15-A19;A152;A00-B99;Tuberculosis
A15-A19;A160;A00-B99;Tuberculosis
A15-A19;A179;A00-B99;Tuberculosis
A15-A19;A19;A00-B99;Tuberculosis
A15-A19;A167;A00-B99;Tuberculosis
A15-A19;A188;A00-B99;Tuberculosis
A15-A19;A190;A00-B99;Tuberculosis
A15-A19;A192;A00-B99;Tuberculosis
A15-A19;A191;A00-B99;Tuberculosis
A15-A19;A171;A00-B99;Tuberculosis
A15-A19;A169;A00-B99;Tuberculosis
A15-A19;A183;A00-B99;Tuberculosis
A15-A19;A162;A00-B99;Tuberculosis
A15-A19;A159;A00-B99;Tuberculosis
A15-A19;A17;A00-B99;Tuberculosis
A15-A19;A18;A00-B99;Tuberculosis
A15-A19;A170;A00-B99;Tuberculosis
A15-A19;A151;A00-B99;Tuberculosis
A15-A19;A187;A00-B99;Tuberculosis
A15-A19;A181;A00-B99;Tuberculosis
A15-A19;A16;A00-B99;Tuberculosis
A15-A19;A186;A00-B99;Tuberculosis
A15-A19;A153;A00-B99;Tuberculosis
A15-A19;A185;A00-B99;Tuberculosis
A15-A19;A184;A00-B99;Tuberculosis
A15-A19;A155;A00-B99;Tuberculosis
A15-A19;A15;A00-B99;Tuberculosis
A15-A19;A156;A00-B99;Tuberculosis
A15-A19;A157;A00-B99;Tuberculosis
A15-A19;A154;A00-B99;Tuberculosis
A15-A19;A164;A00-B99;Tuberculosis
A15-A19;A158;A00-B99;Tuberculosis
A15-A19;A165;A00-B99;Tuberculosis
A15-A19;A163;A00-B99;Tuberculosis
A15-A19;A182;A00-B99;Tuberculosis
A15-A19;A180;A00-B99;Tuberculosis
A20-A28;A217;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A210;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A212;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A250;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A213;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A281;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A211;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A240;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A280;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A28;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A228;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A232;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A269;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A242;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A251;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A243;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A233;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A218;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A222;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A229;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A282;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A26;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A238;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A208;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A244;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A23;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A288;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A21;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A239;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A203;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A260;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A202;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A289;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A268;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A24;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A278;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A220;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A241;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A230;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A279;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A20;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A227;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A267;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A25;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A231;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A259;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A221;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A201;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A27;A00-B99;Certain zoonotic bacterial diseases
A20-A28;A207;A00-B99;Certain zoonotic bacterial diseases
